,Texts,Midia,Rationales
0,"A Média Estadão Dados, que tem atualização diária, não é a simples soma dos resultados e divisão pelo número de pesquisas.",Estadao,não é a simples soma dos resultados e divisão
1,Ele não quis arriscar a chance de assumir a prefeitura de Vitória da Conquista.,Estadao,não quis arriscar
2,"Além disso, são comuns entre os integrantes do grupo as críticas aos judeus e a Israel, gerando acusações de antissemitismo, enquanto a retórica bolsonarista exalta o Estado Judeu.",Estadao,críticas aos judeus e a Israel; antissemitismo
3,"A declaração do dirigente partidário contraria o discurso do presidente Jair Bolsonaro (PL), candidato à reeleição pela legenda, que costuma atacar a Corte Eleitoral e as urnas eletrônicas, alegando que ninguém pode ter acesso à área do TSE onde os votos são somados antes da divulgação.",Estadao,atacar a Corte Eleitoral e as urnas eletrônicas
4,"Giorgia Meloni, líder da direita radical e do partido Fratelli d?Italia (Irmãos da Itália), tem posições polêmicas, mas diz não ser uma extremista.",Estadao,direita radical; posições polêmicas; extremista
5,A estratégia é impedir uma investigação fiscal da Polícia Federal para ver se as transações com gado realmente ocorreram.,Estadao,estratégia é impedir uma investigação
6,"Dentre os que mais colocaram a mão no bolso até aqui está o controlador da Cosan, Rubens Ometto, que lidera a lista com um desembolso de R$ 5,75 milhões para 24 diferentes destinos, mas com o PSD sendo o maior beneficiário.",Estadao,colocaram a mão no bolso; está o controlador; PSD sendo o maior beneficiário
7,"A urgência é uma maneira de acelerar a tramitação de um projeto e permite que ele seja votado diretamente pelo plenário, sem ser analisado por comissões.",Estadao,é uma maneira de acelerar a tramitação
8,O embate da autora com a escrita é tão importante quanto os acontecimentos que relata.,Estadao,é tão importante quanto
9,"Em quase duas horas de discurso, Xi também defendeu sua controvertida política de covid zero, frustrando qualquer esperança de que a medida, que tenta eliminar as infecções por coronavírus com bloqueios rigorosos, termine nos próximos meses.",Estadao,controvertida política; frustrando; bloqueios rigorosos
10,"em ""um meio elegante"", pois a mãe não podia perder clientes, só fechou a loja na hora do enterro.",Estadao,"""um meio elegante""; enterro"
11,"A expectativa do heptacampeonato era grande, mas os jogadores controlaram a ansiedade e o ímpeto russo.",Estadao,controlaram a ansiedade e o ímpeto
12,"Robinho, que pouco aparecia na partida, levou a bola para a linha de fundo e fez todos os tipos de dribles sobre os atônitos zagueiros do Equador, cruzou para dentro da pequena área e Elano - Qua havia acabado de entrar no lugar de Vágner Love - só completou para o fundo das redes.",Estadao,atônitos zagueiros
13,"A notícia da morte da jovem provocou uma reação em cadeia na sociedade iraniana, com protestos se espalhando por diversas cidades do país.",Estadao,provocou uma reação
14,Adversários subiram tags como “fugiu” e “Cadê o Lula” entre as mais comentadas do Twitter.,Estadao,“fugiu”; “Cadê o Lula”
15,"Com novas pesquisas, ‘Média Estadão Dados’ mostra Lula com 52% dos votos válidos;",Estadao,‘Média Estadão Dados’ mostra
